Precio,Expensas,Barrio,Dormitorios,Banos,Ambientes,Antiguedad,Sup_Cubierta_m2,Sup_Total_m2,Amenities,Losa_Central,Aire_Acond,Apto_Credito,Cochera,Seguridad,Luminoso,Balcon_Aterrazado,A_Estrenar,Precio_m2,Proporcion_Cubierta,Indice_Seguridad,Categoria_Seguridad
89000,130000,Saavedra,1.0,1.0,1.0,8.0,32.0,32.0,1,0,1,0,1,0,0,0,0,2781.25,1.0,0.9307354164191517,Muy Segura
93000,150000,Saavedra,1.0,1.0,2.0,15.0,31.0,44.0,1,0,1,0,0,0,1,0,0,2113.6363636363635,0.7045454545454546,0.9182606629440418,Muy Segura
138000,92000,Saavedra,2.0,1.0,3.0,49.0,65.0,65.0,0,0,0,0,0,0,1,0,0,2123.076923076923,1.0,0.9145479386954971,
132000,180000,Saavedra,1.0,1.0,2.0,15.0,39.0,44.0,0,0,0,0,1,0,1,0,0,3000.0,0.8863636363636364,0.792443863609362,Segura
260000,390000,Saavedra,2.0,2.0,3.0,1.0,75.0,79.0,1,0,0,0,1,1,1,0,0,3291.1392405063293,0.9493670886075949,0.9145479386954971,
138000,175000,Saavedra,1.0,2.0,2.0,11.0,43.0,64.0,1,0,0,1,1,0,0,0,0,2156.25,0.671875,0.9250920755613639,Muy Segura
69000,152000,Saavedra,1.0,1.0,2.0,60.0,30.0,37.0,1,0,0,1,0,1,0,0,0,1864.8648648648648,0.8108108108108109,0.7879885945111085,Segura
100000,60000,Saavedra,1.0,1.0,2.0,40.0,40.0,40.0,0,0,0,0,0,0,1,0,0,2500.0,1.0,0.8086610431270049,Segura
120000,150000,Saavedra,2.0,1.0,3.0,40.0,60.0,60.0,1,0,1,1,1,0,1,0,1,2000.0,1.0,0.9533681834382797,Muy Segura
103000,115000,Saavedra,1.0,1.0,1.0,6.0,28.0,41.0,1,0,0,1,1,0,1,0,0,2512.1951219512193,0.6829268292682927,0.9757039325175241,Muy Segura
87000,80000,Saavedra,1.0,1.0,1.0,8.0,33.0,33.0,1,0,0,0,0,0,1,0,0,2636.3636363636365,1.0,0.9478436497564453,Muy Segura
220000,135000,Saavedra,2.0,2.0,3.0,1.0,69.0,75.0,1,1,1,0,1,0,0,1,1,2933.3333333333335,0.92,0.9213496495188309,Muy Segura
89500,170000,Saavedra,1.0,1.0,1.0,5.0,29.0,32.0,1,0,0,1,0,0,1,0,0,2796.875,0.90625,0.8402043483426399,Segura
95000,140000,Saavedra,1.0,1.0,2.0,10.0,35.0,47.0,1,0,0,0,0,0,0,0,0,2021.276595744681,0.7446808510638298,0.970119995247713,Muy Segura
125000,115000,Saavedra,1.0,1.0,2.0,6.0,40.0,45.0,0,0,1,1,0,0,1,0,0,2777.777777777778,0.8888888888888888,0.9145479386954971,
75000,73000,Saavedra,1.0,1.0,2.0,60.0,45.0,45.0,0,0,0,0,0,0,1,0,0,1666.6666666666667,1.0,0.9272306047285256,Muy Segura
210000,220000,Saavedra,3.0,1.0,4.0,40.0,94.0,94.0,0,0,0,0,0,0,1,0,0,2234.0425531914893,1.0,0.7831769038849946,Segura
169000,300000,Saavedra,3.0,2.0,4.0,40.0,90.0,90.0,0,0,0,0,1,0,1,0,0,1877.7777777777778,1.0,0.8147202091006297,Segura
105000,300000,Saavedra,1.0,1.0,1.0,18.0,45.0,50.0,1,0,0,1,1,0,1,0,0,2100.0,0.9,0.9316858738267791,Muy Segura
115000,145000,Saavedra,2.0,1.0,3.0,50.0,58.0,64.0,0,0,0,1,0,0,1,1,0,1796.875,0.90625,0.7714149934656054,Segura
119000,250000,Saavedra,1.0,1.0,2.0,15.0,40.0,43.0,1,0,1,1,0,1,0,0,1,2767.4418604651164,0.9302325581395349,0.5961744089342996,Segura
119000,120000,Saavedra,1.0,1.0,2.0,2.0,34.0,37.0,1,0,1,1,0,0,1,0,1,3216.2162162162163,0.918918918918919,0.7109421409053107,Segura
124900,175000,Saavedra,2.0,1.0,3.0,60.0,57.0,57.0,0,0,0,1,0,0,1,1,0,2191.2280701754385,1.0,0.9768326006890816,Muy Segura
175300,5000,Saavedra,2.0,1.0,3.0,35.0,65.0,78.0,1,0,0,1,1,0,1,1,0,2247.4358974358975,0.8333333333333334,0.9719021028870144,Muy Segura
115000,125000,Saavedra,1.0,1.0,1.0,8.0,39.0,39.0,0,0,0,0,1,0,1,0,0,2948.7179487179487,1.0,0.8770939764761791,Segura
195000,385000,Saavedra,2.0,2.0,3.0,19.0,61.0,67.0,1,0,1,1,1,0,0,0,0,2910.4477611940297,0.9104477611940298,0.8751336580729476,Segura
122000,318000,Saavedra,1.0,1.0,2.0,20.0,45.0,47.0,0,0,0,1,1,0,1,0,1,2595.744680851064,0.9574468085106383,0.8817274563383628,Segura
169500,170000,Saavedra,1.0,1.0,2.0,3.0,49.0,49.0,1,0,1,0,0,0,1,1,1,3459.183673469388,1.0,0.7023880242366639,Segura
890000,910000,Saavedra,3.0,3.0,4.0,15.0,250.0,250.0,1,1,0,1,1,1,1,1,0,3560.0,1.0,0.9889509326363313,Muy Segura
75000,10000,Saavedra,1.0,1.0,2.0,60.0,38.0,39.0,0,0,0,1,0,0,0,0,0,1923.076923076923,0.9743589743589743,0.9239634073898063,Muy Segura
200000,2500,Saavedra,1.0,1.0,1.0,3.0,64.0,64.0,1,0,0,0,0,0,0,1,0,3125.0,1.0,0.9544374480218605,Muy Segura
74000,112138,Saavedra,1.0,1.0,1.0,9.0,31.0,33.0,0,0,0,1,1,0,1,0,0,2242.4242424242425,0.9393939393939394,0.8131163122252584,Segura
124900,130000,Saavedra,1.0,1.0,2.0,5.0,46.0,52.0,0,0,0,1,0,0,0,0,0,2401.923076923077,0.8846153846153846,0.9145479386954971,
105000,100000,Saavedra,1.0,1.0,2.0,6.0,39.0,39.0,1,0,0,1,1,0,0,0,0,2692.3076923076924,1.0,0.9694665557799691,Muy Segura
92000,110000,Saavedra,1.0,1.0,2.0,30.0,45.0,96.0,0,0,0,1,0,0,0,0,0,958.3333333333334,0.46875,0.763811334204586,Segura
88900,90000,Saavedra,1.0,1.0,1.0,6.0,31.0,43.0,1,0,0,1,0,1,1,0,1,2067.4418604651164,0.7209302325581395,0.9421409053106807,Muy Segura
183000,175000,Saavedra,2.0,2.0,3.0,6.0,62.0,100.0,1,0,0,0,0,1,1,0,1,1830.0,0.62,0.9421409053106807,Muy Segura
69000,60000,Saavedra,1.0,1.0,2.0,55.0,35.0,35.0,0,0,1,1,0,0,1,0,0,1971.4285714285713,1.0,0.9145479386954971,
59500,45000,Saavedra,2.0,1.0,3.0,80.0,54.0,54.0,0,0,0,0,0,0,0,0,0,1101.851851851852,1.0,0.8197101104906737,Segura
112000,160000,Saavedra,1.0,1.0,1.0,5.0,35.0,49.0,1,0,1,1,1,0,1,0,0,2285.714285714286,0.7142857142857143,0.9552690982535346,Muy Segura
400000,400000,Saavedra,2.0,3.0,3.0,8.0,90.0,94.0,1,0,1,0,1,1,1,1,0,4255.31914893617,0.9574468085106383,0.9442794344778425,Muy Segura
73900,42000,Saavedra,1.0,1.0,2.0,60.0,45.0,45.0,0,0,0,1,0,0,0,0,0,1642.2222222222222,1.0,0.9326363312344066,Muy Segura
120000,160000,Saavedra,1.0,1.0,2.0,25.0,40.0,45.0,0,0,1,1,1,0,1,0,1,2666.6666666666665,0.8888888888888888,0.1798740643934894,Insegura
139000,175000,Saavedra,2.0,1.0,3.0,45.0,48.0,65.0,0,0,0,1,0,0,0,0,0,2138.4615384615386,0.7384615384615385,0.9145479386954971,
225000,151636,Saavedra,2.0,1.0,3.0,1.0,65.0,72.0,0,0,1,1,1,0,1,0,0,3125.0,0.9027777777777778,0.7762860876796959,Segura
110000,60000,Saavedra,1.0,1.0,1.0,5.0,35.0,45.0,0,0,1,1,0,0,1,0,0,2444.4444444444443,0.7777777777777778,0.8197101104906737,Segura
