Precio,Expensas,Barrio,Dormitorios,Banos,Ambientes,Antiguedad,Sup_Cubierta_m2,Sup_Total_m2,Latitud,Longitud,Link,Amenities,Losa_Central,Aire_Acond,Apto_Credito,Cochera,Seguridad,Luminoso,Balcon_Aterrazado,A_Estrenar,Precio_m2,Proporcion_Cubierta,Indice_Seguridad,Categoria_Seguridad,Subte_Cerca,Percentil_Precio_Barrio,Score
228000,95000,Saavedra,2.0,1.0,3.0,,66.0,66.0,-34.55058,-58.49795,https://www.argenprop.com/departamento-en-venta-en-saavedra-3-ambientes--18759994,0,0,0,0,0,0,1,0,1,3454.5454545454545,1.0,0.9013900439586551,Muy Segura,0.0,0.916083916083916,2.0
118000,103880,Saavedra,1.0,1.0,1.0,5.0,28.0,28.0,-34.543922,-58.477818,https://www.argenprop.com/departamento-en-venta-en-saavedra-1-ambiente--8136370,1,0,0,1,1,0,1,0,0,4214.285714285715,1.0,0.9116074610906498,Muy Segura,0.0,0.9895104895104895,5.0
195000,150000,Saavedra,3.0,2.0,4.0,45.0,72.0,76.0,-34.55029,-58.47617,https://www.argenprop.com/departamento-en-venta-en-saavedra-4-ambientes--18559099,0,0,0,0,1,0,1,0,0,2565.7894736842104,0.9473684210526315,0.9685755019603184,Muy Segura,0.0,0.6083916083916084,3.0
75000,110000,Saavedra,1.0,1.0,2.0,40.0,36.0,46.0,,-58.48396,https://www.argenprop.com/departamento-en-venta-en-saavedra-2-ambientes--18708608,0,0,0,1,0,0,1,0,0,1630.4347826086957,0.782608695652174,,,,0.06293706293706294,0.0
179500,320000,Saavedra,1.0,1.0,3.0,10.0,60.0,65.0,,,https://www.argenprop.com/departamento-en-venta-en-saavedra-3-ambientes--15968502,1,1,0,1,0,0,1,0,0,2761.5384615384614,0.9230769230769231,,,,0.7202797202797203,4.0
330000,280000,Saavedra,3.0,2.0,4.0,30.0,88.0,88.0,,-58.471615,https://www.argenprop.com/departamento-en-venta-en-saavedra-4-ambientes--19227470,1,1,0,1,1,0,0,0,0,3750.0,1.0,,,,0.965034965034965,6.0
245000,313000,Saavedra,2.0,2.0,3.0,,70.0,122.0,,-58.47929,https://www.argenprop.com/departamento-en-venta-en-saavedra-3-ambientes--18672876,1,0,1,0,1,1,1,1,0,2008.1967213114754,0.5737704918032787,,,,0.2202797202797203,8.5
370000,458230,Saavedra,2.0,2.0,3.0,4.0,70.0,90.0,-34.54634,-58.47145,https://www.argenprop.com/departamento-en-venta-en-saavedra-3-ambientes--18900752,1,0,0,0,1,1,1,0,0,4111.111111111111,0.7777777777777778,0.8443031959130332,Segura,0.0,0.986013986013986,7.0
119000,130000,Saavedra,1.0,1.0,2.0,10.0,43.0,48.0,-34.54697,-58.47846,https://www.argenprop.com/departamento-en-venta-en-saavedra-2-ambientes--18317650,1,1,0,1,0,0,0,0,0,2479.1666666666665,0.8958333333333334,0.9661993584412498,Muy Segura,0.0,0.534965034965035,5.0
105000,40000,Saavedra,2.0,1.0,3.0,,65.0,78.0,-34.55192,-58.48631,https://www.argenprop.com/departamento-en-venta-en-saavedra-3-ambientes--17827075,1,0,0,0,0,0,0,0,0,1346.1538461538462,0.8333333333333334,0.7687418320066532,Segura,0.0,0.03146853146853147,2.0
161000,227000,Saavedra,3.0,1.0,4.0,20.0,74.0,77.0,-34.550156,-58.489986,https://www.argenprop.com/departamento-en-venta-en-saavedra-4-ambientes--18832044,1,0,0,1,0,0,1,0,0,2090.909090909091,0.961038961038961,0.9056671022929785,Muy Segura,0.0,0.3006993006993007,3.0
100000,60000,Saavedra,1.0,1.0,2.0,40.0,40.0,50.0,-34.55354,,https://www.argenprop.com/departamento-en-venta-en-saavedra-2-ambientes--18212499,0,0,0,0,0,0,1,0,0,2000.0,0.8,,,,0.21328671328671328,0.0
89000,151058,Saavedra,1.0,1.0,2.0,40.0,42.0,44.0,-34.54439,-58.47294,https://www.argenprop.com/departamento-en-venta-en-saavedra-2-ambientes--19218399,1,0,0,1,0,0,0,0,1,2022.7272727272727,0.9545454545454546,0.8801235594629916,Segura,0.0,0.24125874125874125,3.0
115000,130000,Saavedra,1.0,1.0,1.0,7.0,41.0,41.0,-34.551315,-58.49576,https://www.argenprop.com/departamento-en-venta-en-saavedra-1-ambiente--19345027,1,0,1,0,1,0,1,0,0,2804.878048780488,1.0,0.9168349768326007,Muy Segura,0.0,0.7447552447552448,5.5
94000,125000,Saavedra,1.0,1.0,1.0,7.0,41.0,41.0,-34.551315,-58.49576,https://www.argenprop.com/departamento-en-venta-en-saavedra-1-ambiente--19344985,1,0,1,0,0,0,1,0,0,2292.682926829268,1.0,0.9168349768326007,Muy Segura,0.0,0.4527972027972028,3.5
159900,295000,Saavedra,2.0,1.0,3.0,45.0,58.0,84.0,-34.54448,-58.46963,https://www.argenprop.com/departamento-en-venta-en-saavedra-3-ambientes--18956297,1,0,0,1,0,0,1,0,0,1903.5714285714287,0.6904761904761905,0.860520375430676,Segura,0.0,0.16783216783216784,2.0
115000,130000,Saavedra,1.0,1.0,2.0,7.0,40.0,75.0,-34.551315,-58.49576,https://www.argenprop.com/departamento-en-venta-en-saavedra-2-ambientes--19345028,1,0,1,1,0,0,1,0,1,1533.3333333333333,0.5333333333333333,0.9168349768326007,Muy Segura,0.0,0.04895104895104895,4.5
125000,120000,Saavedra,1.0,1.0,2.0,10.0,43.0,43.0,-34.543816,-58.48109,https://www.argenprop.com/departamento-en-venta-en-saavedra-2-ambientes--17893845,0,0,0,1,0,0,0,1,0,2906.9767441860463,1.0,0.9564571700130688,Muy Segura,0.0,0.7884615384615384,2.0
